taxon,count,percentage,kingdom,phylum,class,order,family,genus,species,name
9606,18375892,93.87415435625431,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Homo sapiens
-1,1186809,6.0628725537455175,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
2,1744,0.008909310372378522,Bacteria, , , , , , ,Bacteria
1969841,824,0.004209444808967834,Viruses, , ,Caudovirales,Siphoviridae,Nonanavirus,Proteus phage VB_PmiS-Isfahan,Proteus phage VB_PmiS-Isfahan
1280,500,0.0025542747627232,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
471,333,0.0017011469919736512,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus
1224,302,0.001542781956684813,Bacteria,Proteobacteria, , , , , ,Proteobacteria
1747,219,0.0011187723460727617,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes
28216,201,0.0010268184546147266,Bacteria,Proteobacteria,Betaproteobacteria, , , , ,Betaproteobacteria
1974213,190,0.000970624409834816,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris sp. HL-130-GSB,Prosthecochloris sp. HL-130-GSB
80864,178,0.0009093218155294592,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae, , ,Comamonadaceae
80840,176,0.0008991047164785665,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales, , , ,Burkholderiales
1817,156,0.0007969337259696385,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia, ,Nocardia
1783272,128,0.0006538943392571392,Bacteria, , , , , , ,Terrabacteria group
1760,120,0.0006130259430535681,Bacteria,Actinobacteria,Actinobacteria, , , , ,Actinobacteria
2724150,100,0.00051085495254464,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia sp. CE17,Romboutsia sp. CE17
2492837,82,0.0004189010610866048,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. C8-2,Sphingomonas sp. C8-2
1491,64,0.0003269471696285696,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum,Clostridium botulinum
1883,61,0.00031162152105223043,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces, ,Streptomyces
1236,61,0.00031162152105223043,Bacteria,Proteobacteria,Gammaproteobacteria, , , , ,Gammaproteobacteria
469,61,0.00031162152105223043,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, ,Acinetobacter
201174,52,0.0002656445753232128,Bacteria,Actinobacteria, , , , , ,Actinobacteria
710111,49,0.00025031892674687366,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,Frankia sp. QA3,Frankia sp. QA3
1239,35,0.000178799233390624,Bacteria,Firmicutes, , , , , ,Firmicutes
28211,34,0.0001736906838651776,Bacteria,Proteobacteria,Alphaproteobacteria, , , , ,Alphaproteobacteria
1485,34,0.0001736906838651776,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium, ,Clostridium
