taxon,count,percentage,kingdom,phylum,class,order,family,genus,species,name
9606,18581192,95.45774110819121,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Homo sapiens
-1,874083,4.490454041972717,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
2,2314,0.011887784859246624,Bacteria, , , , , , ,Bacteria
1969841,665,0.003416325380898446,Viruses, , ,Caudovirales,Siphoviridae,Nonanavirus,Proteus phage VB_PmiS-Isfahan,Proteus phage VB_PmiS-Isfahan
1224,636,0.003267342770302875,Bacteria,Proteobacteria, , , , , ,Proteobacteria
1280,358,0.001839164641145329,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
87883,187,0.0009606809717714428,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans,Burkholderia multivorans
28216,129,0.0006627157505803001,Bacteria,Proteobacteria,Betaproteobacteria, , , , ,Betaproteobacteria
1974213,128,0.0006575784191804529,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris sp. HL-130-GSB,Prosthecochloris sp. HL-130-GSB
80864,94,0.00048290915158564503,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae, , ,Comamonadaceae
80840,91,0.0004674971573861032,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales, , , ,Burkholderiales
1747,81,0.0004161238433876303,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes
2697049,80,0.00041098651198778296,Viruses, , ,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome coronavirus 2
44008,59,0.00030310255259099,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus cecorum,Enterococcus cecorum
2724150,59,0.00030310255259099,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia sp. CE17,Romboutsia sp. CE17
1491,55,0.0002825532269916008,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum,Clostridium botulinum
543,45,0.00023117991299312793,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae, , ,Enterobacteriaceae
1236,44,0.00022604258159328067,Bacteria,Proteobacteria,Gammaproteobacteria, , , , ,Gammaproteobacteria
1783272,43,0.00022090525019343338,Bacteria, , , , , , ,Terrabacteria group
1817,39,0.00020035592459404422,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia, ,Nocardia
1883,38,0.00019521859319419693,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces, ,Streptomyces
1760,36,0.00018494393039450237,Bacteria,Actinobacteria,Actinobacteria, , , , ,Actinobacteria
471,35,0.00017980659899465506,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus
34062,35,0.00017980659899465506,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella osloensis,Moraxella osloensis
1239,33,0.0001695319361949605,Bacteria,Firmicutes, , , , , ,Firmicutes
570,31,0.00015925727339526592,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella, ,Klebsiella
1282,30,0.00015411994199541863,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,Staphylococcus epidermidis
743525,29,0.00014898261059557134,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus scotoductus,Thermus scotoductus SA-01
1386,28,0.00014384527919572408,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus, ,Bacillus
2578107,27,0.00013870794779587676,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. KBS0702,Arthrobacter sp. KBS0702
998844,26,0.00013357061639602947,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Allopseudarcicella,Allopseudarcicella aquatilis,Allopseudarcicella aquatilis
28211,24,0.0001232959535963349,Bacteria,Proteobacteria,Alphaproteobacteria, , , , ,Alphaproteobacteria
2492837,24,0.0001232959535963349,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. C8-2,Sphingomonas sp. C8-2
87882,24,0.0001232959535963349,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia, ,Burkholderia cepacia complex
32008,23,0.00011815862219648761,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia, ,Burkholderia
1279,23,0.00011815862219648761,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus, ,Staphylococcus
1485,22,0.00011302129079664034,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium, ,Clostridium
1678129,21,0.00010788395939679305,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans sp. 103DPR2,Limnohabitans sp. 103DPR2
2306583,21,0.00010788395939679305,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. JS92-SW72,Halomonas sp. JS92-SW72
286,20,0.00010274662799694574,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas, ,Pseudomonas
446,20,0.00010274662799694574,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Legionella pneumophila
364410,19,9.760929659709846e-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,Granulibacter bethesdensis
438,17,8.733463379740388e-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus
201174,17,8.733463379740388e-05,Bacteria,Actinobacteria, , , , , ,Actinobacteria
469,17,8.733463379740388e-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, ,Acinetobacter
976,17,8.733463379740388e-05,Bacteria,Bacteroidetes, , , , , ,Bacteroidetes
454,17,8.733463379740388e-05,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis,Legionella israelensis
1502,16,8.21973023975566e-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,Clostridium perfringens
1806508,15,7.705997099770932e-05,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,Ardenticatenaceae,Candidatus Promineofilum,Candidatus Promineofilum breve,Candidatus Promineofilum breve
