taxon,count,percentage,kingdom,phylum,class,order,family,genus,species,name
9606,8936233,45.480630342250635,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Homo sapiens
-1,1617666,8.233051819847043,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
482,1405889,7.155220539934041,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria, ,Neisseria
481,891721,4.538381348093998,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae, , ,Neisseriaceae
2,667013,3.3947382175997,Bacteria, , , , , , ,Bacteria
838,526360,2.678889929005549,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella, ,Prevotella
171549,355437,1.8089835848011728,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales, , , ,Bacteroidales
712,333886,1.6993005601412468,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae, , ,Pasteurellaceae
1224,266033,1.353965203440864,Bacteria,Proteobacteria, , , , , ,Proteobacteria
1236,252284,1.2839901718391138,Bacteria,Proteobacteria,Gammaproteobacteria, , , , ,Gammaproteobacteria
848,247530,1.2597948630723146,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium, ,Fusobacterium
28216,241490,1.2290545044371723,Bacteria,Proteobacteria,Betaproteobacteria, , , , ,Betaproteobacteria
1301,237025,1.206330050578578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, ,Streptococcus
206351,207608,1.0566133072060642,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales, , , ,Neisseriales
28132,203792,1.0371919150617426,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica,Prevotella melaninogenica
729,189089,0.9623615354239118,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,Haemophilus parainfluenzae
724,184788,0.9404717535547484,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus, ,Haemophilus
29465,164285,0.8361224864858208,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella, ,Veillonella
2133944,136398,0.6941926220390965,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp. E39,Alloprevotella sp. E39
484,126126,0.6419136545059538,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria flavescens,Neisseria flavescens
976,125150,0.6369463382761693,Bacteria,Bacteroidetes, , , , , ,Bacteroidetes
49546,115603,0.5883572316719137,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae, , ,Flavobacteriaceae
575614,92598,0.47127412730081275,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 299,Prevotella sp. oral taxon 299 str. F0039
816,89875,0.45741551859824775,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides, ,Bacteroides
1016,85009,0.43265018993622745,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, ,Capnocytophaga
1019,75858,0.3860765108186468,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,Capnocytophaga sputigena
28449,71291,0.3628329316983331,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria subflava,Neisseria subflava
200643,62455,0.3178624335360619,Bacteria,Bacteroidetes,Bacteroidia, , , , ,Bacteroidia
28131,58639,0.2984410413917402,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia,Prevotella intermedia
1378,53176,0.270637303109657,Bacteria,Firmicutes,Bacilli,Bacillales, ,Gemella, ,Gemella
712710,47082,0.23962211345360446,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella sp. oral taxon HOT-286,Tannerella sp. oral taxon HOT-286
2663009,46468,0.23649718295658834,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium pseudoperiodonticum,Fusobacterium pseudoperiodonticum
171552,46108,0.2346649761505203,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae, , ,Prevotellaceae
194,43755,0.22268946888752525,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, ,Campylobacter
837,43566,0.2217275603143395,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Porphyromonas gingivalis
39778,40552,0.2063879177768695,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella dispar,Veillonella dispar
879243,37199,0.18932294716368533,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas asaccharolytica,Porphyromonas asaccharolytica DSM 20707
1379,36819,0.18738895109061346,Bacteria,Firmicutes,Bacilli,Bacillales, ,Gemella,Gemella haemolysans,Gemella haemolysans
712357,33008,0.1679930062630427,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 212,Leptotrichia sp. oral taxon 212
1239,31241,0.15899992452325853,Bacteria,Firmicutes, , , , , ,Firmicutes
862965,28594,0.1455281150353079,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,Haemophilus parainfluenzae T3T1
836,28353,0.1443015543679123,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas, ,Porphyromonas
264731,27839,0.1416855702059151,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola,Prevotella ruminicola 23
28135,25709,0.13084501327001227,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,Prevotella oris
29466,24947,0.12696684219716817,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula
76123,23964,0.12196389972393225,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca,Prevotella enoeca
204,23423,0.11921050005147993,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter showae,Campylobacter showae
2005473,22446,0.11423809435834516,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae, , ,Muribaculaceae
1177574,22249,0.11323547007835788,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella jejuni,Prevotella jejuni
28037,21172,0.1077541180502042,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,Streptococcus mitis
2630389,20621,0.10494982374424999,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas, ,unclassified Dysgonomonas
36874,19671,0.1001148335615703,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas cangingivalis,Porphyromonas cangingivalis
1760,19485,0.09916819337843513,Bacteria,Actinobacteria,Actinobacteria, , , , ,Actinobacteria
91061,18011,0.09166632440025636,Bacteria,Firmicutes,Bacilli, , , , ,Bacilli
908937,17109,0.08707562845838578,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis,Prevotella dentalis DSM 3688
