taxon,count,percentage,kingdom,phylum,class,order,family,genus,species,name
9606,34178948,83.35727998140622,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Homo sapiens
-1,2743466,6.690898253552701,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
40323,908987,2.216881685722407,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas, ,Stenotrophomonas
32033,898102,2.1903348185514924,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae, , ,Xanthomonadaceae
469,607294,1.4810981306103426,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, ,Acinetobacter
2,316024,0.7707346946092055,Bacteria, , , , , , ,Bacteria
40324,275906,0.6728929658850197,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
1236,224694,0.5479946506294485,Bacteria,Proteobacteria,Gammaproteobacteria, , , , ,Gammaproteobacteria
1224,201334,0.4910231469902596,Bacteria,Proteobacteria, , , , , ,Proteobacteria
135614,137968,0.33648306567173025,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales, , , ,Xanthomonadales
543,118344,0.28862310045702805,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae, , ,Enterobacteriaceae
48296,92597,0.22583006517457094,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,Acinetobacter pittii
91347,89371,0.21796233954357677,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales, , , ,Enterobacterales
573,34471,0.08406955059702405,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Klebsiella pneumoniae
468,25162,0.06136630884286267,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, , ,Moraxellaceae
570,23609,0.05757877694424707,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella, ,Klebsiella
909768,16669,0.0406531675582894,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, ,Acinetobacter calcoaceticus/baumannii complex
108980,11062,0.026978543375715234,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii,Acinetobacter ursingii
995085,8358,0.020383896721589943,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas, ,Stenotrophomonas maltophilia group
11250,6705,0.016352479961505215,Viruses,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,Human orthopneumovirus,Human orthopneumovirus
41275,4075,0.009938308104867077,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas, ,Brevundimonas
1716,3673,0.00895789096176117,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium, ,Corynebacterium
470,3577,0.008723761494750806,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii
72274,2533,0.00617760354101308,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales, , , ,Pseudomonadales
562,2431,0.005928840982314568,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli
475,2296,0.005599596419331241,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella, ,Moraxella
28090,2273,0.005543502901193341,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter lwoffii,Acinetobacter lwoffii
1280,2218,0.0054093662273853186,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
1760,1996,0.0048679418349238494,Bacteria,Actinobacteria,Actinobacteria, , , , ,Actinobacteria
43990,1847,0.004504553391334844,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium segmentosum,Corynebacterium segmentosum
29394,1415,0.0034509707897881995,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Dolosigranulum pigrum,Dolosigranulum pigrum
2211160,1172,0.002858330576418212,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. pho,Stenotrophomonas sp. pho
1190567,1166,0.0028436974847300643,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia EPM1
